Date,PS_TS,PS_VS,M1_in,M1_temp,M1_pH,M1_TS,M1_VS,M1_VFA,M1_Alk,M1_vol,M1_eff,CO2,H2S,MY
2020-01-27,42071.305168170635,31394.381063690085,770,34.77470690114575,7.59737401335762,27495.739415377866,57.801674641148324,285.22222222222223,3559.2592592592596,27468,1042,36.98747144937901,5.920248283645256,0.47730536865016404
2020-01-28,41640.0,30795.0,858,34.9,7.6,25715.0,59.5,281.0,3570.0,27468,1016,36.9931663266502,5.955245462240196,0.45248266279710914
2020-01-29,38495.0,29910.0,948,35.0,7.6,23290.0,60.9,289.0,3410.0,27468,795,36.997057761344315,5.980156117746638,0.4752992936005921
2020-01-30,39570.0,30015.0,912,35.15812682926829,7.5896,23400.76,61.304756792144026,304.89102362204727,3420.4,27468,1028,36.99928817771102,5.995050785291075,0.48598618484597395
2020-01-31,38660.0,29650.0,927,35.365892682926834,7.5648,23664.88,61.61385139116203,328.02740157480315,3445.2,27468,888,37.0,6.0,0.4843694232060119
2020-02-01,36609.26633640009,28187.732965992087,946,35.57459512195121,7.5352,23980.12,61.830567594108025,352.21826771653537,3474.8,27468,1106,36.988921282798835,6.0,0.4881743146490832
2020-02-02,34029.07761264449,26034.4220385516,921,35.73553170731707,7.5104,24244.239999999998,61.95818919803601,371.27275590551176,3499.6,27468,1102,36.96034985422741,6.0,0.53223392317887
2020-02-03,32760.0,24930.0,888,35.8,7.5,24355.0,62.0,379.0,3510.0,27468,1090,36.92128279883382,6.0,0.5638602206420669
2020-02-04,36715.0,28675.0,912,33.8,7.6,23900.0,61.3,315.0,3190.0,27468,976,36.87871720116618,6.0,0.48381977152549893
2020-02-05,36690.0,28495.0,828,34.7,7.7,22465.0,61.2,304.0,3370.0,27468,963,36.839650145772595,6.0,0.49202937981351913
2020-02-06,34900.0,27220.0,870,35.07597798165138,7.689305263157895,22551.84,61.4392,300.1012173913044,3420.5158702476456,27468,1017,36.81107871720117,6.0,0.5277083686817133
2020-02-07,36870.0,28225.0,870,35.3814752293578,7.659915789473684,22758.92,62.0096,297.02886956521735,3445.8242064876176,27468,991,36.8,6.0,0.5084928784500575
2020-02-08,35656.666666666664,27211.2962962963,879,35.60898348623853,7.615873684210526,23006.079999999998,62.6904,294.80591304347826,3463.374607603767,27468,974,36.805539358600576,5.889212827988339,0.5284362659080144
2020-02-09,33403.333333333336,25328.703703703704,870,35.75099449541284,7.561221052631579,23213.16,63.2608,293.45530434782614,3490.616672479944,27468,994,36.819825072886296,5.603498542274052,0.5797639896790221
2020-02-10,32190.0,24315.0,858,35.8,7.5,23300.0,63.5,293.0,3545.0,27468,1284,36.83935860058309,5.2128279883381925,0.5492803596682534
